Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label,Year,Month,Day,Hour,Minute,Second
14049,235,56389.0,630,443.0,6.0,2.0,2.0,0.0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,15500000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,1000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,31.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,14.0,30.0,27.0
93,34,443.0,484,56886.0,6.0,400446.0,14.0,14.0,6437.0,492.0,2856.0,0.0,459.7857142857143,878.8083871463001,246.0,0.0,35.142857142857146,69.55668097409384,17303.206924279428,69.92203692882435,14831.333333333336,21251.80907231556,70636.0,0.0,306487.0,23575.923076923074,47149.39263564543,170683.0,0.0,329810.0,25370.0,39321.58965080972,142115.0,1.0,0.0,0.0,0.0,0.0,456.0,456.0,34.96101846441218,34.96101846441218,0.0,2856.0,238.93103448275863,638.755147087704,408008.1379310344,2.0,2.0,0.0,10.0,27.0,0.0,0.0,0.0,1.0,247.4642857142857,459.7857142857143,35.142857142857146,0.0,0.0,0.0,6929.0,11.0,33580.0,0.0,0.0,0.0,0.0,65535.0,1453.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,15.0,8.0,2.0
12641,210,49154.0,602,6667.0,17.0,119998596.0,25.0,0.0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.16712492202825,0.2083357708618524,4999941.5,8407.704872162816,5024523.0,4976709.0,119998596.0,4999941.5,8407.704872162816,5024523.0,4976709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.2083357708618524,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.52,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195.0,0.0,0.0,0.0,0.0,24.0,8.0,7848908.285714286,2669590.703323933,9998932.0,4990329.0,5004996.083333333,6890.95675450258,5024523.0,5000023.0,7,2022.0,3.0,10.0,14.0,17.0,1.0
30010,563,53.0,409,35358.0,17.0,69098.0,1.0,1.0,136.0,54.0,136.0,136.0,136.0,0.0,54.0,54.0,54.0,0.0,2749.7177921213347,28.944397811803523,69098.0,0.0,69098.0,69098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,14.47219890590176,14.47219890590176,54.0,136.0,108.66666666666669,47.34272207354931,2241.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.0,136.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,15.0,7.0,26.0
20233,294,53973.0,176,80.0,6.0,162805.0,3.0,4.0,196.0,375.0,196.0,0.0,65.33333333333333,113.16065276116665,375.0,0.0,93.75,187.5,3507.2632904394827,42.99622247473972,27134.166666666664,43003.287369300815,109566.0,1.0,148308.0,74154.0,103907.9272818008,147628.0,680.0,124743.0,41581.0,72018.67257871391,124741.0,1.0,0.0,0.0,0.0,0.0,104.0,136.0,18.42695248917417,24.569269985565555,0.0,375.0,71.37500000000001,140.55292597452393,19755.125,1.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,81.57142857142857,65.33333333333333,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.0,508.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,15.0,7.0,32.0
28713,340,80.0,387,42212.0,6.0,4366.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.1278057718736,2183.0,1306.73333163274,3107.0,1259.0,0.0,0.0,0.0,0.0,0.0,3107.0,3107.0,0.0,3107.0,3107.0,0.0,0.0,0.0,0.0,32.0,64.0,229.04260192395785,458.0852038479157,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,501.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,14.0,28.0,29.0
14473,237,48555.0,1263,53.0,17.0,46386.0,1.0,1.0,54.0,136.0,54.0,54.0,54.0,0.0,136.0,136.0,136.0,0.0,4096.063467425517,43.116457551847546,46386.0,0.0,46386.0,46386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,21.558228775923773,21.558228775923773,54.0,136.0,81.33333333333333,47.34272207354931,2241.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,122.0,54.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,14.0,30.0,6.0
7575,161,22629.0,626,32100.0,17.0,79031.0,1.0,1.0,4.0,20.0,4.0,4.0,4.0,0.0,20.0,20.0,20.0,0.0,303.6783034505447,25.30652528754539,79031.0,0.0,79031.0,79031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.653262643772695,12.653262643772695,4.0,20.0,9.333333333333332,9.237604307034012,85.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,14.0,27.0,40.0
7793,161,23223.0,867,32100.0,17.0,306340.0,1.0,1.0,4.0,20.0,4.0,4.0,4.0,0.0,20.0,20.0,20.0,0.0,78.34432330090749,6.5286936084089575,306340.0,0.0,306340.0,306340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.2643468042044788,3.2643468042044788,4.0,20.0,9.333333333333332,9.237604307034012,85.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,14.0,21.0,48.0
142,40,443.0,407,51191.0,6.0,26285.0,2.0,1.0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1179.3798744531102,114.13353623739776,13142.5,18584.88752992603,26284.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,32.0,76.08902415826518,38.04451207913259,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,20.666666666666668,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1685.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2022.0,3.0,10.0,14.0,29.0,32.0
